idx,Date,Temperature
1,17:47,23.98
2,17:48,23.98
3,17:48,23.99
4,17:48,23.99
5,17:48,23.92
6,17:48,23.85
7,17:48,23.86
8,17:49,23.87
9,17:49,23.92
10,17:49,23.92
11,17:49,23.94
12,17:49,23.95
13,17:49,23.9
14,17:50,23.95
15,17:50,23.96
16,17:50,23.91
17,17:50,23.96
18,17:50,24.01
19,17:50,23.97
20,17:51,24
21,17:51,24.01
22,17:51,23.98
23,17:51,23.98
24,17:51,23.9
25,17:51,23.87
26,17:52,23.89
27,17:52,23.78
28,17:52,23.8
29,17:52,23.74
30,17:52,23.79
31,17:52,23.87
32,17:53,23.85
33,17:53,23.87
34,17:53,23.89
35,17:53,23.86
36,17:53,23.86
37,17:53,23.9
38,17:54,23.91
39,17:54,23.88
40,17:54,23.89
41,17:54,23.88
42,17:54,23.86
43,17:54,23.89
44,17:55,23.9
45,17:55,23.9
46,17:55,23.86
47,17:55,23.83
48,17:55,23.81
49,17:55,23.79
50,17:56,23.85
51,17:56,23.86
52,17:56,23.88
53,17:56,23.82
54,17:56,23.81
55,17:56,23.89
56,17:57,23.89
57,17:57,23.88
58,17:57,23.79
59,17:57,23.84
60,17:57,23.87
61,17:57,23.91
62,17:58,23.93
63,17:58,23.88
64,17:58,23.91
65,17:58,23.89
66,17:58,23.86
67,17:58,23.89
68,17:59,23.9
69,17:59,23.88
70,17:59,23.91
71,17:59,23.9
72,17:59,23.93
73,17:59,23.91
74,18:00,23.88
75,18:00,23.88
76,18:00,23.82
77,18:00,23.82
78,18:00,23.81
79,18:00,23.74
80,18:01,23.73
81,18:01,23.78
82,18:01,23.86
83,18:01,23.82
84,18:01,23.86
85,18:01,23.87
86,18:02,23.86
87,18:02,23.91
88,18:02,23.91
89,18:02,23.84
90,18:02,23.84
91,18:02,23.83
92,18:03,23.86
93,18:03,23.89
94,18:03,23.85
95,18:03,23.8
96,18:03,23.88
97,18:03,23.89
98,18:04,23.84
99,18:04,23.87
100,18:04,23.81
101,18:04,23.86
102,18:04,23.83
103,18:04,23.85
104,18:05,23.82
105,18:05,23.84
106,18:05,23.86
107,18:05,23.81
108,18:05,23.81
109,18:05,23.79
110,18:06,23.83
111,18:06,23.76
112,18:06,23.86
113,18:06,23.87
114,18:06,23.88
115,18:06,23.89
116,18:07,23.86
117,18:07,23.85
118,18:07,23.85
119,18:07,23.83
120,18:07,23.87
121,18:07,23.8
122,18:08,23.75
123,18:08,23.79
124,18:08,23.76
125,18:08,23.75
126,18:08,23.76
127,18:08,23.67
128,18:09,23.74
129,18:09,23.78
